mop type,fu,transfer_Type_mem,transfer_type_reg,mnemonic
compSimdWithInt,SimdShift,,,PSLLD
compSimdWithInt,SimdShift,,,PSLLD
compSimdWithInt,SimdShift,,,PSRLQ
compSimdWithInt,SimdShift,,,PSRLQ
compSimdWithInt,SimdShift,,,PSRLDQ
compSimdWithInt,SimdShift,,,PSLLQ
compSimdWithInt,SimdShift,,,PSLLQ
compSimdWithInt,SimdShift,,,PSLLDQ
consistentComp,SimdCmp,,,PCMPEQB
consistentComp,SimdCmp,,,PCMPEQB
consistentComp,SimdCmp,,,PCMPEQW
consistentComp,SimdCmp,,,PCMPEQW
consistentComp,SimdCmp,,,PCMPEQD
consistentComp,SimdCmp,,,PCMPEQD
ignore,,,,EMMS
ignore,,,,VMREAD
ignore,,,,VMWRITE
ignore,,,,HADDPD
ignore,,,,HADDPS
ignore,,,,HSUBPD
ignore,,,,HSUBPS
mov64Simd,,flt,auto,MOVD
mov64Simd,,flt,auto,MOVQ
mov64Simd,,flt,auto,MOVD
mov64Simd,,flt,auto,MOVQ
mov64Simd,,flt,auto,MOVQ
mov64Simd,,flt,auto,MOVQ
consistentMov,,flt,auto,MOVDQA
consistentMov,,flt,auto,MOVDQU
jmpInstr,IntAlu,,,JO
jmpInstr,IntAlu,,,JNO
jmpInstr,IntAlu,,,JB
jmpInstr,IntAlu,,,JNAE
jmpInstr,IntAlu,,,JC
jmpInstr,IntAlu,,,JNB
jmpInstr,IntAlu,,,JAE
jmpInstr,IntAlu,,,JNC
jmpInstr,IntAlu,,,JZ
jmpInstr,IntAlu,,,JE
jmpInstr,IntAlu,,,JNZ
jmpInstr,IntAlu,,,JNE
jmpInstr,IntAlu,,,JBE
jmpInstr,IntAlu,,,JNA
jmpInstr,IntAlu,,,JNBE
jmpInstr,IntAlu,,,JA
jmpInstr,IntAlu,,,JS
jmpInstr,IntAlu,,,JNS
jmpInstr,IntAlu,,,JP
jmpInstr,IntAlu,,,JPE
jmpInstr,IntAlu,,,JNP
jmpInstr,IntAlu,,,JPO
jmpInstr,IntAlu,,,JL
jmpInstr,IntAlu,,,JNGE
jmpInstr,IntAlu,,,JNL
jmpInstr,IntAlu,,,JGE
jmpInstr,IntAlu,,,JLE
jmpInstr,IntAlu,,,JNG
jmpInstr,IntAlu,,,JNLE
jmpInstr,IntAlu,,,JG
ignore,,,,SETO
ignore,,,,SETNO
ignore,,,,SETB
ignore,,,,SETNAE
ignore,,,,SETC
ignore,,,,SETNB
ignore,,,,SETAE
ignore,,,,SETNC
ignore,,,,SETZ
ignore,,,,SETE
ignore,,,,SETNZ
ignore,,,,SETNE
ignore,,,,SETBE
ignore,,,,SETNA
ignore,,,,SETNBE
ignore,,,,SETA
ignore,,,,SETS
ignore,,,,SETNS
ignore,,,,SETP
ignore,,,,SETPE
ignore,,,,SETNP
ignore,,,,SETPO
ignore,,,,SETL
ignore,,,,SETNGE
ignore,,,,SETNL
ignore,,,,SETGE
ignore,,,,SETLE
ignore,,,,SETNG
ignore,,,,SETNLE
ignore,,,,SETG
pushPop,,int,int,PUSH
pushPop,,int,int,POP
ignore,,,,CPUID
consistentComp,IntAlu,,,BT
consistentComp,IntAlu,,,SHLD
consistentComp,IntAlu,,,SHLD
pushPop,,int,int,PUSH
pushPop,,int,int,POP
ignore,,,,RSM
ignore,,,,BTS
consistentComp,IntAlu,,,SHRD
consistentComp,IntAlu,,,SHRD
ignore,,,,FXSAVE
ignore,,,,FXSAVE
ignore,,,,FXRSTOR
ignore,,,,FXRSTOR
ignore,,,,LDMXCSR
ignore,,,,STMXCSR
ignore,,,,XSAVE
ignore,,,,XSAVE
ignore,,,,LFENCE
ignore,,,,XRSTOR
ignore,,,,MFENCE
ignore,,,,SFENCE
ignore,,,,CLFLUSH
consistentComp,IntMult,,,IMUL
consistentComp,IntAlu,,,CMPXCHG
consistentComp,IntAlu,,,CMPXCHG
ignore,,,,LSS
ignore,,,,BTR
ignore,,,,LFS
ignore,,,,LGS
consistentMov,,int,int,MOVZX
consistentMov,,int,int,MOVZX
ignore,,,,POPCNT
ignore,,,,UD
consistentComp,IntAlu,,,BT
consistentComp,IntAlu,,,BTS
consistentComp,IntAlu,,,BTR
consistentComp,IntAlu,,,BTC
consistentComp,IntAlu,,,BTC
consistentComp,IntAlu,,,BSF
consistentComp,IntAlu,,,BSR
consistentMov,,int,int,MOVSX
consistentMov,,int,int,MOVSX
ignore,,,,XADD
ignore,,,,XADD
consistentComp,SimdCmp,,,CMPPS
compSimdScalar,SimdCmp,,,CMPSS
consistentComp,SimdCmp,,,CMPPD
compSimdScalar,SimdCmp,,,CMPSD
consistentMov,,flt,-,MOVNTI
ignore,,,,PINSRW
ignore,,,,PINSRW
ignore,,,,PINSRW
ignore,,,,PINSRW
ignore,,,,PEXTRW
ignore,,,,PEXTRW
ignore,,,,SHUFPS
ignore,,,,SHUFPD
ignore,,,,CMPXCHG8B
ignore,,,,CMPXCHG8B
ignore,,,,CMPXCHG16B
ignore,,,,VMPTRLD
ignore,,,,VMCLEAR
ignore,,,,VMXON
ignore,,,,VMPTRST
ignore,,,,BSWAP
consistentComp,SimdFloatAdd,,,ADDSUBPD
consistentComp,SimdFloatAdd,,,ADDSUBPS
consistentComp,SimdShift,,,PSRLW
consistentComp,SimdShift,,,PSRLW
consistentComp,SimdShift,,,PSRLD
consistentComp,SimdShift,,,PSRLD
consistentComp,SimdShift,,,PSRLQ
consistentComp,SimdShift,,,PSRLQ
consistentComp,SimdAdd,,,PADDQ
consistentComp,SimdAdd,,,PADDQ
consistentComp,SimdMult,,,PMULLW
consistentComp,SimdMult,,,PMULLW
mov64Simd,,flt,int,MOVQ
mov64Simd,,-,int,MOVQ2DQ
mov64Simd,,-,int,MOVDQ2Q
ignore,,,,PMOVMSKB
ignore,,,,PMOVMSKB
consistentComp,SimdAdd,,,PSUBUSB
consistentComp,SimdAdd,,,PSUBUSB
consistentComp,SimdAdd,,,PSUBUSW
consistentComp,SimdAdd,,,PSUBUSW
consistentComp,SimdCmp,,,PMINUB
consistentComp,SimdCmp,,,PMINUB
consistentComp,SimdAlu,,,PAND
consistentComp,SimdAlu,,,PAND
consistentComp,SimdAdd,,,PADDUSB
consistentComp,SimdAdd,,,PADDUSB
consistentComp,SimdAdd,,,PADDUSW
consistentComp,SimdAdd,,,PADDUSW
consistentComp,SimdCmp,,,PMAXUB
consistentComp,SimdCmp,,,PMAXUB
consistentComp,SimdAlu,,,PANDN
consistentComp,SimdAlu,,,PANDN
consistentComp,SimdAdd,,,PAVGB
consistentComp,SimdAdd,,,PAVGB
consistentComp,SimdShift,,,PSRAW
consistentComp,SimdShift,,,PSRAW
consistentComp,SimdShift,,,PSRAD
consistentComp,SimdShift,,,PSRAD
consistentComp,SimdAdd,,,PAVGW
consistentComp,SimdAdd,,,PAVGW
consistentComp,SimdMult,,,PMULHUW
consistentComp,SimdMult,,,PMULHUW
consistentComp,SimdMult,,,PMULHW
consistentComp,SimdMult,,,PMULHW
cvtpackSimd,SimdCmp,,,CVTPD2DQ
cvtpackSimd,SimdCmp,,,CVTTPD2DQ
cvtpackSimd,SimdCmp,,,CVTDQ2PD
consistentMov,,flt,-,MOVNTQ
consistentMov,,flt,-,MOVNTDQ
consistentComp,SimdAdd,,,PSUBSB
consistentComp,SimdAdd,,,PSUBSB
consistentComp,SimdAdd,,,PSUBSW
consistentComp,SimdAdd,,,PSUBSW
consistentComp,SimdCmp,,,PMINSW
consistentComp,SimdCmp,,,PMINSW
consistentComp,SimdAlu,,,POR
consistentComp,SimdAlu,,,POR
consistentComp,SimdAdd,,,PADDSB
consistentComp,SimdAdd,,,PADDSB
consistentComp,SimdAdd,,,PADDSW
consistentComp,SimdAdd,,,PADDSW
consistentComp,SimdCmp,,,PMAXSW
consistentComp,SimdCmp,,,PMAXSW
consistentComp,SimdAlu,,,PXOR
consistentComp,SimdAlu,,,PXOR
consistentMov,,flt,-,LDDQU
consistentComp,SimdShift,,,PSLLW
consistentComp,SimdShift,,,PSLLW
consistentComp,SimdShift,,,PSLLD
consistentComp,SimdShift,,,PSLLD
consistentComp,SimdShift,,,PSLLQ
consistentComp,SimdShift,,,PSLLQ
consistentComp,SimdMult,,,PMULUDQ
consistentComp,SimdMult,,,PMULUDQ
consistentComp,SimdMult,,,PMADDWD
consistentComp,SimdMult,,,PMADDWD
consistentComp,SimdAdd,,,PSADBW
consistentComp,SimdAdd,,,PSADBW
ignore,,,,MASKMOVQ
ignore,,,,MASKMOVDQU
consistentComp,SimdAdd,,,PSUBB
consistentComp,SimdAdd,,,PSUBB
consistentComp,SimdAdd,,,PSUBW
consistentComp,SimdAdd,,,PSUBW
consistentComp,SimdAdd,,,PSUBD
consistentComp,SimdAdd,,,PSUBD
consistentComp,SimdAdd,,,PSUBQ
consistentComp,SimdAdd,,,PSUBQ
consistentComp,SimdAdd,,,PADDB
consistentComp,SimdAdd,,,PADDB
consistentComp,SimdAdd,,,PADDW
consistentComp,SimdAdd,,,PADDW
consistentComp,SimdAdd,,,PADDD
consistentComp,SimdAdd,,,PADDD
