consistentComp,FloatCmp,FCOMP
consistentComp,FloatCmp,FCOMP
consistentComp,FloatAdd,FSUB
consistentComp,FloatAdd,FSUB
consistentComp,FloatAdd,FSUBR
consistentComp,FloatAdd,FSUBR
consistentComp,FloatDiv,FDIV
consistentComp,FloatDiv,FDIV
consistentComp,FloatDiv,FDIVR
consistentComp,FloatDiv,FDIVR
consistentComp,FloatAdd,FCHS
consistentComp,FloatAdd,FABS
consistentComp,FloatAdd,FTST
consistentComp,FloatAdd,FXAM
consistentComp,FloatSqrt,F2XM1
consistentComp,FloatSqrt,FYL2X
consistentComp,FloatSqrt,FPTAN
consistentCompAndPushPop,FloatSqrt,FYL2XP1
consistentComp,FloatSqrt,FSQRT
consistentComp,FloatSqrt,FSINCOS
consistentComp,FloatSqrt,FRNDINT
consistentComp,FloatSqrt,FSCALE
consistentComp,FloatSqrt,FSIN
consistentComp,FloatSqrt,FCOS
consistentComp,FloatAdd,FIADD
consistentComp,FloatMult,FIMUL
consistentComp,FloatCmp,FICOM
consistentCompAndPushPop,FloatCmp,FICOMP
consistentComp,FloatAdd,FISUB
consistentComp,FloatAdd,FISUBR
consistentCompAndPushPop,FloatCmp,FUCOMPP
consistentComp,FloatDiv,FIDIV
consistentComp,FloatDiv,FIDIVR
consistentComp,FloatCmp,FUCOMI
consistentComp,FloatCmp,FCOMI
consistentMovAndPop,,FSTP
consistentComp,FloatAdd,FADD
consistentComp,FloatAdd,FADD
consistentComp,FloatMult,FMUL
consistentComp,FloatMult,FMUL
consistentComp,FloatCmp,FCOM
consistentComp,FloatCmp,FCOM2
consistentCompAndPushPop,FloatCmp,FCOMP
consistentCompAndPushPop,FloatCmp,FCOMP3
consistentComp,FloatAdd,FSUB
consistentComp,FloatAdd,FSUBR
consistentComp,FloatAdd,FSUBR
consistentComp,FloatAdd,FSUB
consistentComp,FloatDiv,FDIV
consistentComp,FloatDiv,FDIVR
consistentComp,FloatDiv,FDIVR
consistentCompAndPushPop,FloatDiv,FDIV
consistentComp,FloatCmp,FUCOM
consistentComp,FloatCmp,FUCOM
consistentCompAndPushPop,FloatCmp,FUCOMP
consistentCompAndPushPop,FloatCmp,FUCOMP
consistentComp,FloatAdd,FIADD
consistentCompAndPushPop,FloatAdd,FADDP
consistentCompAndPushPop,FloatAdd,FADDP
consistentComp,FloatMult,FIMUL
consistentCompAndPushPop,FloatMult,FMULP
consistentCompAndPushPop,FloatMult,FMULP
consistentComp,FloatCmp,FICOM
consistentCompAndPushPop,FloatCmp,FCOMP5
